"codigo_producto","producto","categoria","proveedor","presentacion","costo_base","precio_venta","margen_referencial"
"P001","Cinta de correr 4.0 HP","Cardio","Life Fitness","Motor 4.0 HP, pantalla 22""","2500.00","3800.00","34.21"
"P002","Elíptica CrossRower","Cardio","Precor","Resistencia magnética","1800.00","2800.00","35.71"
"P003","Bicicleta estática Upright","Cardio","Technogym","Resistencia ajustable","1200.00","1900.00","36.84"
"P004","Bicicleta Spinning Pro","Cardio","Star Trac","Volante 20 kg","850.00","1350.00","37.04"
"P005","Máquina de remo","Cardio","Concept2","Resistencia de aire","1100.00","1700.00","35.29"
"P006","Prensa de piernas 45°","Musculación","Hammer Strength","Capacidad 300 kg","3200.00","4800.00","33.33"
"P007","Máquina de poleas crossover","Musculación","Body Solid","Estación dual","2800.00","4200.00","33.33"
"P008","Banco de pesas regulable","Musculación","Paramount","Inclinación 0-90°","650.00","1050.00","38.10"
"P009","Máquina de abdominales","Musculación","Hoist","Rojo profesional","900.00","1400.00","35.71"
"P010","Máquina de extensión cuádriceps","Musculación","Cybex","Selección de pesos","2100.00","3200.00","34.38"
"P011","Máquina de curl isquiotibiales","Musculación","Technogym","Palanca ajustable","2100.00","3200.00","34.38"
"P012","Máquina de pectorales","Musculación","Precor","Fly press","2200.00","3400.00","35.29"
"P013","Máquina de dorsalera","Musculación","Matrix","Lat pulldown","2000.00","3100.00","35.48"
"P014","Máquina de hombros","Musculación","Keiser","Press shoulder","2300.00","3500.00","34.29"
"P015","Máquina de bíceps","Musculación","Body Solid","Curl preacher","1500.00","2350.00","36.17"
"P016","Máquina multifuncional","Musculación","Hoist","Estación 4 funciones","4000.00","6000.00","33.33"
"P017","Juego de mancuernas (2-50 kg)","Accesorios","Paramount","Par completo","1800.00","2700.00","33.33"
"P018","Discos de peso (olímpicos)","Accesorios","Star Trac","Set 150 kg","800.00","1250.00","36.00"
"P019","Barras olímpicas","Accesorios","Hammer Strength","3 barras","500.00","800.00","37.50"
"P020","Kettlebells (4-32 kg)","Accesorios","Life Fitness","Set 8 pesas","650.00","1000.00","35.00"
